cell,species,Habitat
840137,Abies nordmanniana,DryPoor
842434,Abies nordmanniana,DryPoor
842435,Abies nordmanniana,DryPoor
842502,Abies nordmanniana,DryPoor
844539,Abies nordmanniana,DryPoor
844540,Abies nordmanniana,DryPoor
844802,Abies nordmanniana,DryPoor
844803,Abies nordmanniana,DryPoor
846838,Abies nordmanniana,DryPoor
847099,Abies nordmanniana,DryPoor
847100,Abies nordmanniana,DryPoor
847101,Abies nordmanniana,DryPoor
847102,Abies nordmanniana,DryPoor
847103,Abies nordmanniana,DryPoor
849138,Abies nordmanniana,DryPoor
849399,Abies nordmanniana,DryPoor
849400,Abies nordmanniana,DryPoor
849401,Abies nordmanniana,DryPoor
849402,Abies nordmanniana,DryPoor
856249,Abies nordmanniana,DryPoor
856250,Abies nordmanniana,DryPoor
865444,Abies nordmanniana,DryPoor
867488,Abies nordmanniana,DryPoor
867489,Abies nordmanniana,DryPoor
867491,Abies nordmanniana,DryPoor
867742,Abies nordmanniana,DryPoor
867743,Abies nordmanniana,DryPoor
867745,Abies nordmanniana,DryPoor
867746,Abies nordmanniana,DryPoor
867748,Abies nordmanniana,DryPoor
869788,Abies nordmanniana,DryPoor
869790,Abies nordmanniana,DryPoor
869791,Abies nordmanniana,DryPoor
869792,Abies nordmanniana,DryPoor
870044,Abies nordmanniana,DryPoor
870045,Abies nordmanniana,DryPoor
870046,Abies nordmanniana,DryPoor
870047,Abies nordmanniana,DryPoor
872345,Abies nordmanniana,DryPoor
872347,Abies nordmanniana,DryPoor
872348,Abies nordmanniana,DryPoor
874388,Abies nordmanniana,DryPoor
874390,Abies nordmanniana,DryPoor
874391,Abies nordmanniana,DryPoor
874647,Abies nordmanniana,DryPoor
881545,Abies nordmanniana,DryPoor
883532,Abies nordmanniana,DryPoor
883533,Abies nordmanniana,DryPoor
885832,Abies nordmanniana,DryPoor
885833,Abies nordmanniana,DryPoor
885834,Abies nordmanniana,DryPoor
885835,Abies nordmanniana,DryPoor
885836,Abies nordmanniana,DryPoor
885892,Abies nordmanniana,DryPoor
888134,Abies nordmanniana,DryPoor
888135,Abies nordmanniana,DryPoor
888254,Abies nordmanniana,DryPoor
888255,Abies nordmanniana,DryPoor
888256,Abies nordmanniana,DryPoor
890434,Abies nordmanniana,DryPoor
890435,Abies nordmanniana,DryPoor
890554,Abies nordmanniana,DryPoor
890555,Abies nordmanniana,DryPoor
890556,Abies nordmanniana,DryPoor
890557,Abies nordmanniana,DryPoor
892857,Abies nordmanniana,DryPoor
895089,Abies nordmanniana,DryPoor
895090,Abies nordmanniana,DryPoor
895091,Abies nordmanniana,DryPoor
895092,Abies nordmanniana,DryPoor
895155,Abies nordmanniana,DryPoor
895156,Abies nordmanniana,DryPoor
897390,Abies nordmanniana,DryPoor
897391,Abies nordmanniana,DryPoor
918009,Abies nordmanniana,DryPoor
918106,Abies nordmanniana,DryPoor
918107,Abies nordmanniana,DryPoor
918108,Abies nordmanniana,DryPoor
920301,Abies nordmanniana,DryPoor
920406,Abies nordmanniana,DryPoor
920408,Abies nordmanniana,DryPoor
922607,Abies nordmanniana,DryPoor
922609,Abies nordmanniana,DryPoor
922610,Abies nordmanniana,DryPoor
922705,Abies nordmanniana,DryPoor
922706,Abies nordmanniana,DryPoor
922709,Abies nordmanniana,DryPoor
922854,Abies nordmanniana,DryPoor
922857,Abies nordmanniana,DryPoor
924901,Abies nordmanniana,DryPoor
924902,Abies nordmanniana,DryPoor
925006,Abies nordmanniana,DryPoor
925008,Abies nordmanniana,DryPoor
925154,Abies nordmanniana,DryPoor
925158,Abies nordmanniana,DryPoor
927306,Abies nordmanniana,DryPoor
934236,Abies nordmanniana,DryPoor
936536,Abies nordmanniana,DryPoor
936537,Abies nordmanniana,DryPoor
936538,Abies nordmanniana,DryPoor
938836,Abies nordmanniana,DryPoor
941134,Abies nordmanniana,DryPoor
941135,Abies nordmanniana,DryPoor
941136,Abies nordmanniana,DryPoor
947987,Abies nordmanniana,DryPoor
947988,Abies nordmanniana,DryPoor
950213,Abies nordmanniana,DryPoor
950287,Abies nordmanniana,DryPoor
950289,Abies nordmanniana,DryPoor
950290,Abies nordmanniana,DryPoor
952509,Abies nordmanniana,DryPoor
952510,Abies nordmanniana,DryPoor
952511,Abies nordmanniana,DryPoor
952513,Abies nordmanniana,DryPoor
952587,Abies nordmanniana,DryPoor
952588,Abies nordmanniana,DryPoor
952589,Abies nordmanniana,DryPoor
952590,Abies nordmanniana,DryPoor
952591,Abies nordmanniana,DryPoor
954809,Abies nordmanniana,DryPoor
954810,Abies nordmanniana,DryPoor
954811,Abies nordmanniana,DryPoor
954813,Abies nordmanniana,DryPoor
954887,Abies nordmanniana,DryPoor
954888,Abies nordmanniana,DryPoor
954889,Abies nordmanniana,DryPoor
954890,Abies nordmanniana,DryPoor
957110,Abies nordmanniana,DryPoor
957111,Abies nordmanniana,DryPoor
957112,Abies nordmanniana,DryPoor
957113,Abies nordmanniana,DryPoor
957188,Abies nordmanniana,DryPoor
957304,Abies nordmanniana,DryPoor
957305,Abies nordmanniana,DryPoor
957306,Abies nordmanniana,DryPoor
959605,Abies nordmanniana,DryPoor
959606,Abies nordmanniana,DryPoor
959608,Abies nordmanniana,DryPoor
961906,Abies nordmanniana,DryPoor
961907,Abies nordmanniana,DryPoor
961908,Abies nordmanniana,DryPoor
964205,Abies nordmanniana,DryPoor
964206,Abies nordmanniana,DryPoor
964207,Abies nordmanniana,DryPoor
1001215,Abies nordmanniana,DryPoor
1003517,Abies nordmanniana,DryPoor
1008114,Abies nordmanniana,DryPoor
1008115,Abies nordmanniana,DryPoor
1008117,Abies nordmanniana,DryPoor
1008118,Abies nordmanniana,DryPoor
1010415,Abies nordmanniana,DryPoor
1010417,Abies nordmanniana,DryPoor
1033183,Abies nordmanniana,DryPoor
1033363,Abies nordmanniana,DryPoor
1033365,Abies nordmanniana,DryPoor
1035482,Abies nordmanniana,DryPoor
1035483,Abies nordmanniana,DryPoor
1035663,Abies nordmanniana,DryPoor
1035664,Abies nordmanniana,DryPoor
1037765,Abies nordmanniana,DryPoor
1037766,Abies nordmanniana,DryPoor
1037767,Abies nordmanniana,DryPoor
1037769,Abies nordmanniana,DryPoor
1037782,Abies nordmanniana,DryPoor
1037963,Abies nordmanniana,DryPoor
1037964,Abies nordmanniana,DryPoor
1040064,Abies nordmanniana,DryPoor
1040065,Abies nordmanniana,DryPoor
1040066,Abies nordmanniana,DryPoor
1040068,Abies nordmanniana,DryPoor
1040069,Abies nordmanniana,DryPoor
1040070,Abies nordmanniana,DryPoor
1040082,Abies nordmanniana,DryPoor
1040256,Abies nordmanniana,DryPoor
1040257,Abies nordmanniana,DryPoor
1040258,Abies nordmanniana,DryPoor
1040264,Abies nordmanniana,DryPoor
1042364,Abies nordmanniana,DryPoor
1042365,Abies nordmanniana,DryPoor
1042366,Abies nordmanniana,DryPoor
1042367,Abies nordmanniana,DryPoor
1042368,Abies nordmanniana,DryPoor
1042371,Abies nordmanniana,DryPoor
1042383,Abies nordmanniana,DryPoor
1042384,Abies nordmanniana,DryPoor
1042385,Abies nordmanniana,DryPoor
1042555,Abies nordmanniana,DryPoor
1042556,Abies nordmanniana,DryPoor
1042557,Abies nordmanniana,DryPoor
1042558,Abies nordmanniana,DryPoor
1042562,Abies nordmanniana,DryPoor
1044664,Abies nordmanniana,DryPoor
1044665,Abies nordmanniana,DryPoor
1044666,Abies nordmanniana,DryPoor
1044670,Abies nordmanniana,DryPoor
1044671,Abies nordmanniana,DryPoor
1044672,Abies nordmanniana,DryPoor
1044855,Abies nordmanniana,DryPoor
1044856,Abies nordmanniana,DryPoor
1044857,Abies nordmanniana,DryPoor
1044860,Abies nordmanniana,DryPoor
1044862,Abies nordmanniana,DryPoor
1044863,Abies nordmanniana,DryPoor
1044864,Abies nordmanniana,DryPoor
1046966,Abies nordmanniana,DryPoor
1047112,Abies nordmanniana,DryPoor
1047122,Abies nordmanniana,DryPoor
1047123,Abies nordmanniana,DryPoor
1047124,Abies nordmanniana,DryPoor
1047155,Abies nordmanniana,DryPoor
1047156,Abies nordmanniana,DryPoor
1047157,Abies nordmanniana,DryPoor
1047158,Abies nordmanniana,DryPoor
1047160,Abies nordmanniana,DryPoor
1047163,Abies nordmanniana,DryPoor
1047164,Abies nordmanniana,DryPoor
1049413,Abies nordmanniana,DryPoor
1049414,Abies nordmanniana,DryPoor
1049422,Abies nordmanniana,DryPoor
1049424,Abies nordmanniana,DryPoor
1049425,Abies nordmanniana,DryPoor
1049456,Abies nordmanniana,DryPoor
1049457,Abies nordmanniana,DryPoor
1049458,Abies nordmanniana,DryPoor
1049462,Abies nordmanniana,DryPoor
1049463,Abies nordmanniana,DryPoor
1049464,Abies nordmanniana,DryPoor
1051714,Abies nordmanniana,DryPoor
1051715,Abies nordmanniana,DryPoor
1051721,Abies nordmanniana,DryPoor
1051722,Abies nordmanniana,DryPoor
1051724,Abies nordmanniana,DryPoor
1051761,Abies nordmanniana,DryPoor
1051762,Abies nordmanniana,DryPoor
1051763,Abies nordmanniana,DryPoor
1054014,Abies nordmanniana,DryPoor
1054015,Abies nordmanniana,DryPoor
1054021,Abies nordmanniana,DryPoor
1054022,Abies nordmanniana,DryPoor
1054023,Abies nordmanniana,DryPoor
1054024,Abies nordmanniana,DryPoor
1056313,Abies nordmanniana,DryPoor
1056314,Abies nordmanniana,DryPoor
1056322,Abies nordmanniana,DryPoor
1081440,Abies nordmanniana,DryPoor
1081441,Abies nordmanniana,DryPoor
1081535,Abies nordmanniana,DryPoor
1081536,Abies nordmanniana,DryPoor
1083739,Abies nordmanniana,DryPoor
1083742,Abies nordmanniana,DryPoor
1083834,Abies nordmanniana,DryPoor
1083835,Abies nordmanniana,DryPoor
1086041,Abies nordmanniana,DryPoor
1086043,Abies nordmanniana,DryPoor
1086134,Abies nordmanniana,DryPoor
1086135,Abies nordmanniana,DryPoor
1088339,Abies nordmanniana,DryPoor
1088340,Abies nordmanniana,DryPoor
1088341,Abies nordmanniana,DryPoor
1088342,Abies nordmanniana,DryPoor
1088343,Abies nordmanniana,DryPoor
1088436,Abies nordmanniana,DryPoor
1088438,Abies nordmanniana,DryPoor
1090639,Abies nordmanniana,DryPoor
1090640,Abies nordmanniana,DryPoor
1090641,Abies nordmanniana,DryPoor
1090642,Abies nordmanniana,DryPoor
1090734,Abies nordmanniana,DryPoor
1090735,Abies nordmanniana,DryPoor
1090736,Abies nordmanniana,DryPoor
1097631,Abies nordmanniana,DryPoor
1097632,Abies nordmanniana,DryPoor
1099931,Abies nordmanniana,DryPoor
1102230,Abies nordmanniana,DryPoor
1106832,Abies nordmanniana,DryPoor
1109142,Abies nordmanniana,DryPoor
1111110,Abies nordmanniana,DryPoor
1113409,Abies nordmanniana,DryPoor
1113410,Abies nordmanniana,DryPoor
1113411,Abies nordmanniana,DryPoor
1113796,Abies nordmanniana,DryPoor
1113799,Abies nordmanniana,DryPoor
1115710,Abies nordmanniana,DryPoor
1116099,Abies nordmanniana,DryPoor
1118012,Abies nordmanniana,DryPoor
1118395,Abies nordmanniana,DryPoor
1120697,Abies nordmanniana,DryPoor
1122870,Abies nordmanniana,DryPoor
1122871,Abies nordmanniana,DryPoor
1123118,Abies nordmanniana,DryPoor
1125169,Abies nordmanniana,DryPoor
1125170,Abies nordmanniana,DryPoor
1125171,Abies nordmanniana,DryPoor
1125172,Abies nordmanniana,DryPoor
1125419,Abies nordmanniana,DryPoor
1127469,Abies nordmanniana,DryPoor
1127470,Abies nordmanniana,DryPoor
1127471,Abies nordmanniana,DryPoor
1127472,Abies nordmanniana,DryPoor
1127473,Abies nordmanniana,DryPoor
1127716,Abies nordmanniana,DryPoor
1127719,Abies nordmanniana,DryPoor
1129769,Abies nordmanniana,DryPoor
1129770,Abies nordmanniana,DryPoor
1129771,Abies nordmanniana,DryPoor
1129772,Abies nordmanniana,DryPoor
1130016,Abies nordmanniana,DryPoor
1132069,Abies nordmanniana,DryPoor
1132070,Abies nordmanniana,DryPoor
1132071,Abies nordmanniana,DryPoor
1132072,Abies nordmanniana,DryPoor
1132316,Abies nordmanniana,DryPoor
1132317,Abies nordmanniana,DryPoor
1132319,Abies nordmanniana,DryPoor
1146030,Abies nordmanniana,DryPoor
1146032,Abies nordmanniana,DryPoor
1148327,Abies nordmanniana,DryPoor
1150167,Abies nordmanniana,DryPoor
1150627,Abies nordmanniana,DryPoor
1150632,Abies nordmanniana,DryPoor
1152930,Abies nordmanniana,DryPoor
1154754,Abies nordmanniana,DryPoor
1157340,Abies nordmanniana,DryPoor
1157341,Abies nordmanniana,DryPoor
1157342,Abies nordmanniana,DryPoor
1159639,Abies nordmanniana,DryPoor
1159640,Abies nordmanniana,DryPoor
1159641,Abies nordmanniana,DryPoor
1159642,Abies nordmanniana,DryPoor
1159788,Abies nordmanniana,DryPoor
1161939,Abies nordmanniana,DryPoor
1161941,Abies nordmanniana,DryPoor
1161942,Abies nordmanniana,DryPoor
1161943,Abies nordmanniana,DryPoor
1162085,Abies nordmanniana,DryPoor
1162109,Abies nordmanniana,DryPoor
1162110,Abies nordmanniana,DryPoor
1162112,Abies nordmanniana,DryPoor
1162180,Abies nordmanniana,DryPoor
1162181,Abies nordmanniana,DryPoor
1164239,Abies nordmanniana,DryPoor
1164240,Abies nordmanniana,DryPoor
1164241,Abies nordmanniana,DryPoor
1164242,Abies nordmanniana,DryPoor
1164386,Abies nordmanniana,DryPoor
1164410,Abies nordmanniana,DryPoor
1164412,Abies nordmanniana,DryPoor
1164413,Abies nordmanniana,DryPoor
1164479,Abies nordmanniana,DryPoor
1164480,Abies nordmanniana,DryPoor
1164481,Abies nordmanniana,DryPoor
1166539,Abies nordmanniana,DryPoor
1166540,Abies nordmanniana,DryPoor
1166541,Abies nordmanniana,DryPoor
1166542,Abies nordmanniana,DryPoor
1166703,Abies nordmanniana,DryPoor
1166704,Abies nordmanniana,DryPoor
1166711,Abies nordmanniana,DryPoor
1166712,Abies nordmanniana,DryPoor
1166713,Abies nordmanniana,DryPoor
1166779,Abies nordmanniana,DryPoor
1166780,Abies nordmanniana,DryPoor
1166781,Abies nordmanniana,DryPoor
1166782,Abies nordmanniana,DryPoor
1166783,Abies nordmanniana,DryPoor
1168839,Abies nordmanniana,DryPoor
1168840,Abies nordmanniana,DryPoor
1168841,Abies nordmanniana,DryPoor
1169002,Abies nordmanniana,DryPoor
1169003,Abies nordmanniana,DryPoor
1169005,Abies nordmanniana,DryPoor
1169007,Abies nordmanniana,DryPoor
1169010,Abies nordmanniana,DryPoor
1169011,Abies nordmanniana,DryPoor
1169012,Abies nordmanniana,DryPoor
1169079,Abies nordmanniana,DryPoor
1169080,Abies nordmanniana,DryPoor
1169081,Abies nordmanniana,DryPoor
1169082,Abies nordmanniana,DryPoor
1171139,Abies nordmanniana,DryPoor
1171140,Abies nordmanniana,DryPoor
1171141,Abies nordmanniana,DryPoor
1171142,Abies nordmanniana,DryPoor
1171306,Abies nordmanniana,DryPoor
1171379,Abies nordmanniana,DryPoor
1171380,Abies nordmanniana,DryPoor
1171381,Abies nordmanniana,DryPoor
1173607,Abies nordmanniana,DryPoor
1175903,Abies nordmanniana,DryPoor
1175904,Abies nordmanniana,DryPoor
1175905,Abies nordmanniana,DryPoor
1175906,Abies nordmanniana,DryPoor
1175907,Abies nordmanniana,DryPoor
1175908,Abies nordmanniana,DryPoor
1178205,Abies nordmanniana,DryPoor
1178206,Abies nordmanniana,DryPoor
1178207,Abies nordmanniana,DryPoor
1191920,Abies nordmanniana,DryPoor
1194220,Abies nordmanniana,DryPoor
1194221,Abies nordmanniana,DryPoor
1196521,Abies nordmanniana,DryPoor
1210467,Abies nordmanniana,DryPoor
1212766,Abies nordmanniana,DryPoor
1212767,Abies nordmanniana,DryPoor
1215065,Abies nordmanniana,DryPoor
1215066,Abies nordmanniana,DryPoor
1215067,Abies nordmanniana,DryPoor
1215068,Abies nordmanniana,DryPoor
1217365,Abies nordmanniana,DryPoor
1217369,Abies nordmanniana,DryPoor
1219666,Abies nordmanniana,DryPoor
1219667,Abies nordmanniana,DryPoor
1219668,Abies nordmanniana,DryPoor
1221702,Abies nordmanniana,DryPoor
1224003,Abies nordmanniana,DryPoor
1263220,Abies nordmanniana,DryPoor
1263221,Abies nordmanniana,DryPoor
1265519,Abies nordmanniana,DryPoor
1265520,Abies nordmanniana,DryPoor
1265521,Abies nordmanniana,DryPoor
1267819,Abies nordmanniana,DryPoor
1267820,Abies nordmanniana,DryPoor
1267821,Abies nordmanniana,DryPoor
1267822,Abies nordmanniana,DryPoor
1267823,Abies nordmanniana,DryPoor
1270120,Abies nordmanniana,DryPoor
1270121,Abies nordmanniana,DryPoor
1270122,Abies nordmanniana,DryPoor
1272421,Abies nordmanniana,DryPoor
1274785,Abies nordmanniana,DryPoor
1279391,Abies nordmanniana,DryPoor
1302391,Abies nordmanniana,DryPoor
1302392,Abies nordmanniana,DryPoor
1306964,Abies nordmanniana,DryPoor
1309264,Abies nordmanniana,DryPoor
1309289,Abies nordmanniana,DryPoor
1309290,Abies nordmanniana,DryPoor
1309341,Abies nordmanniana,DryPoor
1311641,Abies nordmanniana,DryPoor
1311642,Abies nordmanniana,DryPoor
1313941,Abies nordmanniana,DryPoor
1318239,Abies nordmanniana,DryPoor
1318493,Abies nordmanniana,DryPoor
1318494,Abies nordmanniana,DryPoor
1320539,Abies nordmanniana,DryPoor
1320809,Abies nordmanniana,DryPoor
1322899,Abies nordmanniana,DryPoor
1322900,Abies nordmanniana,DryPoor
1322901,Abies nordmanniana,DryPoor
1323109,Abies nordmanniana,DryPoor
1323110,Abies nordmanniana,DryPoor
1325199,Abies nordmanniana,DryPoor
1325200,Abies nordmanniana,DryPoor
1325201,Abies nordmanniana,DryPoor
1325202,Abies nordmanniana,DryPoor
1325406,Abies nordmanniana,DryPoor
1325407,Abies nordmanniana,DryPoor
1325408,Abies nordmanniana,DryPoor
1325409,Abies nordmanniana,DryPoor
1325410,Abies nordmanniana,DryPoor
1327498,Abies nordmanniana,DryPoor
1327499,Abies nordmanniana,DryPoor
1327500,Abies nordmanniana,DryPoor
1327706,Abies nordmanniana,DryPoor
1327707,Abies nordmanniana,DryPoor
1327708,Abies nordmanniana,DryPoor
1327709,Abies nordmanniana,DryPoor
1329799,Abies nordmanniana,DryPoor
1329800,Abies nordmanniana,DryPoor
1329801,Abies nordmanniana,DryPoor
1329802,Abies nordmanniana,DryPoor
1332100,Abies nordmanniana,DryPoor
1332101,Abies nordmanniana,DryPoor
1345945,Abies nordmanniana,DryPoor
1345946,Abies nordmanniana,DryPoor
1346185,Abies nordmanniana,DryPoor
1346186,Abies nordmanniana,DryPoor
1348245,Abies nordmanniana,DryPoor
1348246,Abies nordmanniana,DryPoor
1348247,Abies nordmanniana,DryPoor
1350545,Abies nordmanniana,DryPoor
1350547,Abies nordmanniana,DryPoor
1350548,Abies nordmanniana,DryPoor
1350680,Abies nordmanniana,DryPoor
1350681,Abies nordmanniana,DryPoor
1350682,Abies nordmanniana,DryPoor
